FIPS,State,County,FFR09,FFR14,PCH_FFR_09_14,FFRPTH09,FFRPTH14,PCH_FFRPTH_09_14,FSR09,FSR14,PCH_FSR_09_14,FSRPTH09,FSRPTH14,PCH_FSRPTH_09_14,PC_FFRSALES07,PC_FFRSALES12,PC_FSRSALES07,PC_FSRSALES12
13087,GA,Decatur,18,21,16.66666667,0.641528263,0.77149155,20.25838844,14,15,7.142857143,0.498966427,0.551065393,10.44137714,749.6665528,666.146008,711.7697982,649.8371362
13089,GA,DeKalb,537,595,10.80074488,0.777519409,0.823915997,5.967257795,504,548,8.73015873,0.729738887,0.758833557,3.986997315,749.6665528,666.146008,711.7697982,649.8371362
13091,GA,Dodge,12,13,8.333333333,0.5540422,0.619755912,11.8607774,9,5,-44.44444444,0.41553165,0.238367658,-42.63549877,749.6665528,666.146008,711.7697982,649.8371362
13093,GA,Dooly,7,6,-14.28571429,0.473965739,0.422892585,-10.77570583,4,2,-50,0.270837565,0.140964195,-47.95249507,749.6665528,666.146008,711.7697982,649.8371362
13095,GA,Dougherty,91,92,1.098901099,0.961051031,0.995595572,3.594454395,68,58,-14.70588235,0.718148023,0.627658078,-12.60045871,749.6665528,666.146008,711.7697982,649.8371362
13097,GA,Douglas,80,85,6.25,0.609328824,0.612497838,0.520082723,81,73,-9.87654321,0.616945435,0.526027555,-14.73677805,749.6665528,666.146008,711.7697982,649.8371362
13099,GA,Early,8,5,-37.5,0.720655797,0.47659899,-33.8659327,11,14,27.27272727,0.990901721,1.334477171,34.67300977,749.6665528,666.146008,711.7697982,649.8371362
13101,GA,Echols,0,0,0,0,0,0,0,1,,0,0.249812641,,749.6665528,666.146008,711.7697982,649.8371362
13103,GA,Effingham,23,24,4.347826087,0.443091624,0.433033217,-2.270051125,24,22,-8.333333333,0.462356477,0.396947116,-14.14695463,749.6665528,666.146008,711.7697982,649.8371362
13105,GA,Elbert,14,11,-21.42857143,0.688468158,0.565901842,-17.80275749,9,5,-44.44444444,0.442586673,0.25722811,-41.88073762,749.6665528,666.146008,711.7697982,649.8371362
13107,GA,Emanuel,12,12,0,0.53437834,0.527356625,-1.313996924,13,15,15.38461539,0.578909868,0.659195781,13.86846509,749.6665528,666.146008,711.7697982,649.8371362
13109,GA,Evans,6,5,-16.66666667,0.544662309,0.45879978,-15.76436043,6,6,0,0.544662309,0.550559736,1.08276748,749.6665528,666.146008,711.7697982,649.8371362
13111,GA,Fannin,20,20,0,0.845272812,0.841998905,-0.387319496,18,25,38.88888889,0.760745531,1.052498632,38.35094514,749.6665528,666.146008,711.7697982,649.8371362
13113,GA,Fayette,69,95,37.68115942,0.654071834,0.866282463,32.44454471,105,91,-13.33333333,0.995326704,0.829807412,-16.62964449,749.6665528,666.146008,711.7697982,649.8371362
13115,GA,Floyd,70,75,7.142857143,0.726269155,0.780737641,7.499765779,69,60,-13.04347826,0.715893882,0.624590113,-12.75381328,749.6665528,666.146008,711.7697982,649.8371362
13117,GA,Forsyth,105,130,23.80952381,0.610489962,0.636312909,4.229872584,112,130,16.07142857,0.651189293,0.636312909,-2.284494453,749.6665528,666.146008,711.7697982,649.8371362
13119,GA,Franklin,13,15,15.38461539,0.58685446,0.673733381,14.80416816,22,18,-18.18181818,0.993138317,0.808480057,-18.59340803,749.6665528,666.146008,711.7697982,649.8371362
13121,GA,Fulton,952,1147,20.48319328,1.051340072,1.151237706,9.501933445,1085,1110,2.304147465,1.198218464,1.114101006,-7.020210519,749.6665528,666.146008,711.7697982,649.8371362
13123,GA,Gilmer,24,21,-12.5,0.851849223,0.728433175,-14.48801554,25,27,8,0.88734294,0.936556939,5.546220819,749.6665528,666.146008,711.7697982,649.8371362
13125,GA,Glascock,0,0,0,0,0,0,1,1,0,0.32615786,0.327546675,0.425810678,749.6665528,666.146008,711.7697982,649.8371362
13127,GA,Glynn,79,90,13.92405063,1.000684012,1.095223608,9.447497429,104,101,-2.884615385,1.317356168,1.229084271,-6.700685685,749.6665528,666.146008,711.7697982,649.8371362
13129,GA,Gordon,37,35,-5.405405405,0.673400673,0.624475886,-7.265330883,25,27,8,0.455000455,0.481738541,5.876496512,749.6665528,666.146008,711.7697982,649.8371362
13131,GA,Grady,11,16,45.45454546,0.441891295,0.630939706,42.78165543,7,5,-28.57142857,0.281203551,0.197168658,-29.8840085,749.6665528,666.146008,711.7697982,649.8371362
13133,GA,Greene,12,7,-41.66666667,0.753106565,0.424499697,-43.63351526,14,16,14.28571429,0.878624325,0.970285021,10.43229663,749.6665528,666.146008,711.7697982,649.8371362
13135,GA,Gwinnett,640,673,5.15625,0.803741416,0.766582908,-4.623191895,652,672,3.067484663,0.818811568,0.765443855,-6.517703831,749.6665528,666.146008,711.7697982,649.8371362
13137,GA,Habersham,28,30,7.142857143,0.651966377,0.68568294,5.17151869,30,28,-6.666666667,0.698535404,0.639970744,-8.383921497,749.6665528,666.146008,711.7697982,649.8371362
13139,GA,Hall,99,111,12.12121212,0.554612528,0.581879944,4.916480451,104,108,3.846153846,0.582623261,0.566153459,-2.826835674,749.6665528,666.146008,711.7697982,649.8371362
13141,GA,Hancock,5,7,40,0.525872949,0.822658362,56.43671407,1,2,100,0.10517459,0.235045246,123.4810201,749.6665528,666.146008,711.7697982,649.8371362
13143,GA,Haralson,14,19,35.71428571,0.486550358,0.663384658,36.34450114,14,18,28.57142857,0.486550358,0.628469676,29.16847476,749.6665528,666.146008,711.7697982,649.8371362
13145,GA,Harris,7,8,14.28571429,0.222264558,0.243338606,9.481514957,13,13,0,0.412777037,0.395425234,-4.203674413,749.6665528,666.146008,711.7697982,649.8371362
13147,GA,Hart,13,12,-7.692307692,0.517763263,0.472869133,-8.670783053,15,11,-26.66666667,0.597419149,0.433463372,-27.44401098,749.6665528,666.146008,711.7697982,649.8371362
13149,GA,Heard,4,4,0,0.3399915,0.34473843,1.39619064,1,2,100,0.084997875,0.172369215,102.7923813,749.6665528,666.146008,711.7697982,649.8371362
