FIPS,State,County,MILK_PRICE10,SODA_PRICE10,MILK_SODA_PRICE10,SODATAX_STORES14,SODATAX_VENDM14,CHIPSTAX_STORES14,CHIPSTAX_VENDM14,FOOD_TAX14
13263,GA,Talbot,0.8567245,0.9908802,0.799857,0,4,0,4,0
13265,GA,Taliaferro,1.082025,0.9486629,1.055159,0,4,0,4,0
13267,GA,Tattnall,1.082025,0.9486629,1.055159,0,4,0,4,0
13269,GA,Taylor,1.082025,0.9486629,1.055159,0,4,0,4,0
13271,GA,Telfair,1.082025,0.9486629,1.055159,0,4,0,4,0
13273,GA,Terrell,1.082025,0.9486629,1.055159,0,4,0,4,0
13275,GA,Thomas,1.082025,0.9486629,1.055159,0,4,0,4,0
13277,GA,Tift,1.082025,0.9486629,1.055159,0,4,0,4,0
13279,GA,Toombs,1.082025,0.9486629,1.055159,0,4,0,4,0
13281,GA,Towns,0.8567245,0.9908802,0.799857,0,4,0,4,0
13283,GA,Treutlen,1.082025,0.9486629,1.055159,0,4,0,4,0
13285,GA,Troup,0.8567245,0.9908802,0.799857,0,4,0,4,0
13287,GA,Turner,1.082025,0.9486629,1.055159,0,4,0,4,0
13289,GA,Twiggs,1.082025,0.9486629,1.055159,0,4,0,4,0
13291,GA,Union,0.8567245,0.9908802,0.799857,0,4,0,4,0
13293,GA,Upson,0.8567245,0.9908802,0.799857,0,4,0,4,0
13295,GA,Walker,1.082025,0.9486629,1.055159,0,4,0,4,0
13297,GA,Walton,0.8567245,0.9908802,0.799857,0,4,0,4,0
13299,GA,Ware,1.114266,0.9753885,1.056827,0,4,0,4,0
13301,GA,Warren,1.082025,0.9486629,1.055159,0,4,0,4,0
13303,GA,Washington,1.082025,0.9486629,1.055159,0,4,0,4,0
13305,GA,Wayne,1.082025,0.9486629,1.055159,0,4,0,4,0
13307,GA,Webster,1.082025,0.9486629,1.055159,0,4,0,4,0
13309,GA,Wheeler,1.082025,0.9486629,1.055159,0,4,0,4,0
13311,GA,White,0.8567245,0.9908802,0.799857,0,4,0,4,0
13313,GA,Whitfield,0.8567245,0.9908802,0.799857,0,4,0,4,0
13315,GA,Wilcox,1.082025,0.9486629,1.055159,0,4,0,4,0
13317,GA,Wilkes,1.082025,0.9486629,1.055159,0,4,0,4,0
13319,GA,Wilkinson,1.082025,0.9486629,1.055159,0,4,0,4,0
13321,GA,Worth,1.082025,0.9486629,1.055159,0,4,0,4,0
