FIPS,State,County,PCT_DIABETES_ADULTS08,PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS08,PCT_OBESE_ADULTS13,PCT_HSPA15,RECFAC09,RECFAC14,PCH_RECFAC_09_14,RECFACPTH09,RECFACPTH14,PCH_RECFACPTH_09_14
13265,GA,Taliaferro,16.2,16.2,32.2,31.4,,0,0,0,0,0,0
13267,GA,Tattnall,11.6,10.2,30.7,33.1,,0,0,0,0,0,0
13269,GA,Taylor,14,14.5,31.7,28.8,,0,0,0,0,0,0
13271,GA,Telfair,11.6,12.3,30,30.9,,0,0,0,0,0,0
13273,GA,Terrell,13.9,14.9,34.5,31.6,,0,0,0,0,0,0
13275,GA,Thomas,13.2,14,31.4,34,,7,5,-28.57142857,0.156638099,0.111212438,-29.00039083
13277,GA,Tift,12,13.2,34.1,34,,6,5,-16.66666667,0.150950991,0.12283805,-18.62388627
13279,GA,Toombs,12.7,13.6,29.7,31.5,,0,1,,0,0.0366542,
13281,GA,Towns,12.3,12.9,26.1,27.4,,0,0,0,0,0,0
13283,GA,Treutlen,11.9,12.3,31.2,32.9,,0,0,0,0,0,0
13285,GA,Troup,12.5,12.6,31.4,30,,3,6,100,0.0451658,0.08636946,91.22774187
13287,GA,Turner,13.4,14.3,31.8,34.6,,0,0,0,0,0,0
13289,GA,Twiggs,13.3,14.5,31.2,32.8,,0,0,0,0,0,0
13291,GA,Union,13.5,15.9,27.2,27.2,,2,0,-100,0.093729497,0,-100
13293,GA,Upson,12.5,11.9,29.9,32,,1,0,-100,0.0365497,0,-100
13295,GA,Walker,12.2,12.4,29.6,32.1,,5,2,-60,0.07287355,0.0293178,-59.76897593
13297,GA,Walton,10.4,11.6,27.5,34.4,,3,3,0,0.0359915,0.0342407,-4.864463848
13299,GA,Ware,12.4,12.3,29.2,35.5,,6,4,-33.33333333,0.16673614,0.112628467,-32.45107701
13301,GA,Warren,14.7,15.8,31.8,32,,0,0,0,0,0,0
13303,GA,Washington,13.3,13,32.1,32.2,,0,0,0,0,0,0
13305,GA,Wayne,10.5,13.1,30.2,31.8,,2,1,-50,0.06663113,0.0333901,-49.88814318
13307,GA,Webster,13.4,14.6,31.6,32.1,,0,0,0,0,0,0
13309,GA,Wheeler,11.2,12.1,31.4,31.9,,0,0,0,0,0,0
13311,GA,White,10.3,12.6,27,28.6,,2,0,-100,0.074214257,0,-100
13313,GA,Whitfield,10.5,13.2,29,33.5,,8,4,-50,0.079200863,0.0386317,-51.22317514
13315,GA,Wilcox,12,11.4,32.2,31.5,,0,0,0,0,0,0
13317,GA,Wilkes,14.8,15.5,30.3,32.9,,0,1,,0,0.100603622,
13319,GA,Wilkinson,13.1,14.8,31.4,34.5,,0,0,0,0,0,0
13321,GA,Worth,11.8,13.9,30.3,36.7,,2,3,50,0.091747328,0.143266476,56.15329513
