FIPS,State,County,REDEMP_SNAPS12,REDEMP_SNAPS16,PCH_REDEMP_SNAPS_12_16,PCT_SNAP12,PCT_SNAP16,PCH_SNAP_12_16,PC_SNAPBEN10,PC_SNAPBEN15,PCH_PC_SNAPBEN_10_15,SNAP_PART_RATE08,SNAP_PART_RATE13,SNAP_OAPP09,SNAP_OAPP16,SNAP_CAP09,SNAP_CAP16,SNAP_BBCE09,SNAP_BBCE16,SNAP_REPORTSIMPLE09,SNAP_REPORTSIMPLE16,PCT_NSLP09,PCT_NSLP15,PCH_NSLP_09_15,PCT_FREE_LUNCH09,PCT_FREE_LUNCH14,PCT_REDUCED_LUNCH09,PCT_REDUCED_LUNCH14,PCT_SBP09,PCT_SBP15,PCH_SBP_09_15,PCT_SFSP09,PCT_SFSP15,PCH_SFSP_09_15,PC_WIC_REDEMP08,PC_WIC_REDEMP12,PCH_PC_WIC_REDEMP_08_12,REDEMP_WICS08,REDEMP_WICS12,PCH_REDEMP_WICS_08_12,PCT_WIC09,PCT_WIC15,PCH_WIC_09_15,PCT_CACFP09,PCT_CACFP15,PCH_CACFP_09_15,FDPIR12
13055,GA,Chattooga,247373.8685,209723.2911,-15.220111,19.39529709,16.41494763,-2.98034946,28.02229483,22.01055649,-21.45341191,62,92.597,1,0,0,0,1,1,1,1,13.13427904,12.10152211,-1.032756923,52.78969957,59.69555035,9.942775393,8.50117096,5.744377651,6.137433513,0.393055861,0.696434332,0.991095326,0.294660994,28.12121,22.48012,-20.05994,94364.25,82614.43,-12.45156,5.078871539,2.587396369,-2.491475171,1.424865129,1.387363606,-0.037501523,0
13057,GA,Cherokee,306174.6451,210912.7183,-31.113591,19.39529709,16.41494763,-2.98034946,8.9434839,8.419669877,-5.856934825,62,92.597,1,0,0,0,1,1,1,1,13.13427904,12.10152211,-1.032756923,22.10325647,25.64028569,5.797404225,4.958757184,5.744377651,6.137433513,0.393055861,0.696434332,0.991095326,0.294660994,15.57914,11.711,-24.82896,116907.6,78540.03,-32.8187,5.078871539,2.587396369,-2.491475171,1.424865129,1.387363606,-0.037501523,0
13059,GA,Clarke,340570.433,286317.1887,-15.93010991,19.39529709,16.41494763,-2.98034946,21.76117118,29.80490014,36.9636767,62,92.597,1,0,0,0,1,1,1,1,13.13427904,12.10152211,-1.032756923,70.72896596,72.28455843,6.896274888,5.778184871,5.744377651,6.137433513,0.393055861,0.696434332,0.991095326,0.294660994,18.73758,23.0524,23.02765,126923.9,154023.3,21.35089,5.078871539,2.587396369,-2.491475171,1.424865129,1.387363606,-0.037501523,0
13061,GA,Clay,148168.101,113571.6377,-23.34946795,19.39529709,16.41494763,-2.98034946,42.25573358,50.97402597,20.63221165,62,92.597,1,0,0,0,1,1,1,1,13.13427904,12.10152211,-1.032756923,84.56790123,97.07792208,11.11111111,0,5.744377651,6.137433513,0.393055861,0.696434332,0.991095326,0.294660994,,,,,,,5.078871539,2.587396369,-2.491475171,1.424865129,1.387363606,-0.037501523,0
13063,GA,Clayton,543992.2528,476425.8688,-12.42046805,19.39529709,16.41494763,-2.98034946,36.26784723,40.39168954,11.37051859,62,92.597,1,0,0,0,1,1,1,1,13.13427904,12.10152211,-1.032756923,70.53696593,86.73173344,9.725523659,2.710785116,5.744377651,6.137433513,0.393055861,0.696434332,0.991095326,0.294660994,36.95778,72.07173,95.01101,159385.6,368519.4,131.2125,5.078871539,2.587396369,-2.491475171,1.424865129,1.387363606,-0.037501523,0
13065,GA,Clinch,258275.0557,145040.3907,-43.84266404,19.39529709,16.41494763,-2.98034946,37.11876042,35.71774389,-3.774416269,62,92.597,1,0,0,0,1,1,1,1,13.13427904,12.10152211,-1.032756923,57.45428973,70.6970128,9.845288326,7.539118065,5.744377651,6.137433513,0.393055861,0.696434332,0.991095326,0.294660994,,,,,,,5.078871539,2.587396369,-2.491475171,1.424865129,1.387363606,-0.037501523,0
13067,GA,Cobb,336707.4954,252720.7305,-24.94353886,19.39529709,16.41494763,-2.98034946,13.41526687,13.40403579,-0.083718667,62,92.597,1,0,0,0,1,1,1,1,13.13427904,12.10152211,-1.032756923,35.41534532,40.48087051,6.724762592,5.755019781,5.744377651,6.137433513,0.393055861,0.696434332,0.991095326,0.294660994,18.23644,15.74422,-13.66613,156749.3,129513.1,-17.37566,5.078871539,2.587396369,-2.491475171,1.424865129,1.387363606,-0.037501523,0
13069,GA,Coffee,274335.6407,238287.2924,-13.14023517,19.39529709,16.41494763,-2.98034946,31.06604338,28.15893138,-9.357844403,62,92.597,1,0,0,0,1,1,1,1,13.13427904,12.10152211,-1.032756923,64.9910463,83.59686335,8.454847787,1.156961049,5.744377651,6.137433513,0.393055861,0.696434332,0.991095326,0.294660994,49.42828,46.08536,-6.76317,83908.63,104710.8,24.79145,5.078871539,2.587396369,-2.491475171,1.424865129,1.387363606,-0.037501523,0
13071,GA,Colquitt,395855.9127,282560.5359,-28.62035736,19.39529709,16.41494763,-2.98034946,30.43723534,33.52274797,10.13729598,62,92.597,1,0,0,0,1,1,1,1,13.13427904,12.10152211,-1.032756923,61.88211877,95.03962128,8.260533009,0,5.744377651,6.137433513,0.393055861,0.696434332,0.991095326,0.294660994,41.53279,34.65821,-16.55217,157167,177669.6,13.04508,5.078871539,2.587396369,-2.491475171,1.424865129,1.387363606,-0.037501523,0
13073,GA,Columbia,385973.0469,266183.2758,-31.03578659,19.39529709,16.41494763,-2.98034946,9.107666347,8.849828799,-2.830994662,62,92.597,1,0,0,0,1,1,1,1,13.13427904,12.10152211,-1.032756923,21.67781207,25.35641548,7.617455418,7.93905687,5.744377651,6.137433513,0.393055861,0.696434332,0.991095326,0.294660994,15.22971,13.07322,-14.15975,98985.06,78217.68,-20.98032,5.078871539,2.587396369,-2.491475171,1.424865129,1.387363606,-0.037501523,0
13075,GA,Cook,223555.6507,240894.4691,7.755929402,19.39529709,16.41494763,-2.98034946,31.09264854,32.1334504,3.347421028,62,92.597,1,0,0,0,1,1,1,1,13.13427904,12.10152211,-1.032756923,60.3474094,86.14783654,9.194369572,0,5.744377651,6.137433513,0.393055861,0.696434332,0.991095326,0.294660994,38.91659,,,129055.2,,,5.078871539,2.587396369,-2.491475171,1.424865129,1.387363606,-0.037501523,0
13077,GA,Coweta,324643.0388,268272.2019,-17.36394446,19.39529709,16.41494763,-2.98034946,18.63262565,15.72616999,-15.59874448,62,92.597,1,0,0,0,1,1,1,1,13.13427904,12.10152211,-1.032756923,33.66222126,35.37571271,9.060681629,7.16534763,5.744377651,6.137433513,0.393055861,0.696434332,0.991095326,0.294660994,14.16469,14.165,0.002141,124867.9,103033.8,-17.4857,5.078871539,2.587396369,-2.491475171,1.424865129,1.387363606,-0.037501523,0
13079,GA,Crawford,119829.9154,88262.70048,-26.34335074,19.39529709,16.41494763,-2.98034946,25.32990235,25.37399619,0.174078197,62,92.597,1,0,0,0,1,1,1,1,13.13427904,12.10152211,-1.032756923,64.12579957,70.58159232,11.19402985,9.768492377,5.744377651,6.137433513,0.393055861,0.696434332,0.991095326,0.294660994,,,,,,,5.078871539,2.587396369,-2.491475171,1.424865129,1.387363606,-0.037501523,0
