FIPS,State,County,FOODINSEC_10_12,FOODINSEC_13_15,CH_FOODINSEC_12_15,VLFOODSEC_10_12,VLFOODSEC_13_15,CH_VLFOODSEC_12_15,FOODINSEC_CHILD_01_07,FOODINSEC_CHILD_03_11
13223,GA,Paulding,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13225,GA,Peach,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13227,GA,Pickens,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13229,GA,Pierce,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13231,GA,Pike,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13233,GA,Polk,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13235,GA,Pulaski,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13237,GA,Putnam,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13239,GA,Quitman,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13241,GA,Rabun,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13243,GA,Randolph,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13245,GA,Richmond,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13247,GA,Rockdale,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13249,GA,Schley,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13251,GA,Screven,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13253,GA,Seminole,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13255,GA,Spalding,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13257,GA,Stephens,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13259,GA,Stewart,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13261,GA,Sumter,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13263,GA,Talbot,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13265,GA,Taliaferro,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13267,GA,Tattnall,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13269,GA,Taylor,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13271,GA,Telfair,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13273,GA,Terrell,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13275,GA,Thomas,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13277,GA,Tift,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13279,GA,Toombs,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13281,GA,Towns,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13283,GA,Treutlen,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13285,GA,Troup,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13287,GA,Turner,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13289,GA,Twiggs,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13291,GA,Union,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13293,GA,Upson,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
