FIPS,State,County,PCT_NHWHITE10,PCT_NHBLACK10,PCT_HISP10,PCT_NHASIAN10,PCT_NHNA10,PCT_NHPI10,PCT_65OLDER10,PCT_18YOUNGER10,MEDHHINC15,POVRATE15,PERPOV10,CHILDPOVRATE15,PERCHLDPOV10,METRO13,POPLOSS10
13151,GA,Henry,52.51174469,36.31584625,5.792901207,2.894243878,0.236364885,0.053942194,8.360059238,29.25481311,65437,9.9,0,15.8,0,1,0
13153,GA,Houston,60.54538956,28.25947105,6.08649035,2.401715511,0.280200143,0.068620443,10.41529664,26.79842745,55860,15.2,0,22.6,0,1,0
13155,GA,Irwin,70.44453764,25.78108618,2.390438247,0.639547075,0.020968757,0,15.56930174,24.27133571,35284,24.7,0,37.1,1,0,0
13157,GA,Jackson,83.8141688,6.69587501,6.176738034,1.696288336,0.150450525,0.01983963,11.89881789,26.52723816,56102,13,0,17.8,0,0,0
13159,GA,Jasper,72.62589928,21.79856115,3.669064748,0.215827338,0.287769784,0.007194245,12.69064748,25,46398,17.4,0,28.9,0,1,0
13161,GA,Jeff Davis,73.3740377,14.6801168,10.46588797,0.464560658,0.179187683,0,12.43695248,27.64799575,36186,21.7,0,34.1,1,0,0
13163,GA,Jefferson,41.43532191,54.26461902,3.053750738,0.378027171,0.106320142,0.011813349,14.75487301,25.22740697,32023,27.7,1,39.7,1,0,1
13165,GA,Jenkins,54.05275779,40.20383693,4.004796163,0.431654676,0.263788969,0.011990408,15.05995204,26.81055156,29924,35.9,1,47.3,1,0,0
13167,GA,Johnson,62.31462926,34.67935872,1.863727455,0.220440882,0.170340681,0.03006012,13.91783567,20.94188377,30794,30.2,1,37.1,1,0,0
13169,GA,Jones,72.65687677,24.33639122,1.098747776,0.648784401,0.212773379,0.006976176,12.50828421,26.06648296,52777,14.2,0,20.7,0,1,0
13171,GA,Lamar,65.20172517,30.68733963,1.861658569,0.371239832,0.185619916,0.010918819,13.57755091,21.12245455,42177,21,0,29.3,0,1,0
13173,GA,Lanier,68.45604287,23.48680294,4.574320302,1.002182973,0.37705894,0.029767811,10.95455448,27.46576702,37616,21.8,0,35.9,1,1,0
13175,GA,Laurens,59.71012099,35.65264071,2.359912458,0.986910022,0.179625883,0.008258661,14.21315605,25.75669984,36960,25.5,0,36,1,0,0
13177,GA,Lee,75.81101138,18.51367588,1.978938441,2.152095554,0.233232031,0.067142554,8.318609089,28.04085094,68636,10.7,0,16.1,0,1,0
13179,GA,Liberty,42.68513703,41.00357745,9.706396861,1.862796085,0.45230328,0.57365294,6.258175342,30.24443289,39612,20.3,0,27.3,0,1,0
13181,GA,Lincoln,65.04502251,32.04102051,1.225612806,0.4002001,0.337668834,0.012506253,17.45872936,20.64782391,39089,21.4,0,31.9,0,1,0
13183,GA,Long,58.70436947,24.48147124,12.2925885,0.76050885,0.525442478,0.352599558,7.293971239,30.5517146,42542,19.1,0,27.7,1,1,0
13185,GA,Lowndes,56.05815093,35.53413346,4.795254181,1.429055322,0.27921965,0.084223632,9.789166278,24.69034083,37699,26.5,0,32.4,1,1,0
13187,GA,Lumpkin,91.83407862,1.034505773,4.485083094,0.443836348,0.557298271,0.08009077,12.66101582,20.8269372,48101,16.5,0,22.4,0,0,0
13189,GA,McDuffie,56.27428571,39.59314286,2.171428571,0.338285714,0.256,0.068571429,13.58628571,26.048,36346,27.4,0,40.5,1,1,0
13191,GA,McIntosh,60.81071653,35.80548385,1.583757762,0.31396079,0.320937696,0.034884532,17.28877416,21.47491802,38770,24,0,39.3,0,1,0
13193,GA,Macon,33.65671642,60.39348711,3.575305292,1.289009498,0.12890095,0.122116689,12.39484396,22.06919946,30696,33.5,1,43.6,1,0,0
13195,GA,Madison,85.7254623,8.250355619,4.050497866,0.615220484,0.224039829,0,13.34992888,24.44523471,40735,15.1,0,23,0,1,0
13197,GA,Marion,58.33905285,32.45252803,6.520247083,0.880805308,0.457561199,0.14870739,13.89842141,23.97620682,35265,25.5,1,40.1,1,1,0
13199,GA,Meriwether,57.32084394,39.0278283,1.57784649,0.641142234,0.304656239,0.009094216,15.76482357,23.69043288,37866,22.1,0,33.7,1,1,0
13201,GA,Miller,69.1755102,27.70612245,1.518367347,0.375510204,0.228571429,0,18.33469388,23.44489796,35357,25.1,0,37.8,1,0,0
13205,GA,Mitchell,46.36139246,47.59979573,4.374840412,0.51068176,0.25534088,0.017022725,13.13728828,24.83615627,34139,28,1,38.1,1,0,0
13207,GA,Monroe,72.28655767,23.6489555,2.024674538,0.790947623,0.242204057,0.015137754,13.88510445,22.52876173,53070,14.2,0,19.5,0,1,0
13209,GA,Montgomery,67.34626768,26.00021923,5.261427162,0.284993971,0.06576784,0.010961307,12.85761263,22.84336293,36821,24.3,0,32.2,1,0,0
13211,GA,Morgan,71.7147974,23.50011193,2.764719051,0.59323931,0.251846877,0,15.52496082,24.84329528,51081,14.3,0,22.8,0,1,0
13213,GA,Murray,84.95508227,0.53497527,13.00595539,0.277581508,0.237206016,0.002523468,10.81558494,26.86988998,43142,17.8,0,26.7,0,1,0
13215,GA,Muscogee,43.65273718,44.82660558,6.377544303,2.138662875,0.315454091,0.199067857,11.62914396,25.59338547,41828,22.2,0,31.1,1,1,0
13217,GA,Newton,52.01684708,40.38796294,4.636947518,0.881370175,0.199083615,0.034014286,9.834130335,28.88513176,51177,14.9,0,23.3,0,1,0
13219,GA,Oconee,86.27773714,4.907339673,4.376981224,3.096805657,0.094489149,0.012192148,10.90587662,28.35588881,76371,6.8,0,8.6,0,1,0
13221,GA,Oglethorpe,76.7098463,17.16222565,3.664675482,0.436270891,0.221491375,0.01342372,14.18887174,23.86066179,43428,16.9,0,25.2,0,1,0
13223,GA,Paulding,74.99718951,16.72943425,5.103847559,0.869143644,0.248025632,0.040752087,7.180798741,30.27880048,62658,8.8,0,12.7,0,1,0
13225,GA,Peach,45.13089005,45.66528254,6.824336523,0.801588734,0.213034844,0.028886081,11.42444485,22.82000361,41725,22,1,33.4,1,1,0
13227,GA,Pickens,94.46501988,1.009140022,2.782780062,0.400937787,0.234446672,0.016988889,16.32632259,22.55105161,56289,12.6,0,22.2,0,1,0
13229,GA,Pierce,84.55059175,8.7749227,4.72864911,0.309201407,0.373174112,0.063972705,14.02601557,26.10086363,39648,22.1,0,31.1,1,0,0
13231,GA,Pike,86.77598075,10.21321842,1.080082825,0.307795624,0.291006772,0.005596284,12.28943981,27.07482232,56233,11.7,0,16.9,0,1,0
13233,GA,Polk,73.51898734,12.41711875,11.77817963,0.650994575,0.176009644,0.038577456,13.34538879,26.63291139,39402,20.8,0,32.3,0,0,0
13235,GA,Pulaski,62.39800167,31.70691091,3.871773522,0.857618651,0.24979184,0.016652789,15.67027477,21.46544546,39209,24.4,0,34.5,0,1,0
13237,GA,Putnam,66.09482515,25.90724856,6.348383448,0.504288811,0.127250448,0.042416816,18.12140635,21.68441889,44323,18.1,0,33.1,0,0,0
13239,GA,Quitman,50.33824115,47.67210505,1.352964584,0.079586152,0.119379228,0,22.04536411,20.45364107,29921,28.9,1,47.9,1,0,0
13241,GA,Rabun,88.89161956,0.884738265,7.993364463,0.700417793,0.325632834,0.04300811,21.25215041,21.06782993,40834,16.1,0,28.1,0,0,0
13243,GA,Randolph,36.0279829,61.49760332,1.541650473,0.285011012,0.06477523,0,17.82614328,22.38631947,30505,26.9,1,44.1,1,0,1
13245,GA,Richmond,38.01365252,53.53554493,4.092266728,1.634513261,0.284219817,0.18648809,11.32491311,24.58501414,40821,24.3,0,37.7,1,1,0
13247,GA,Rockdale,40.86839172,45.76189638,9.461949187,1.757906472,0.210056915,0.061022121,10.63897201,26.88963211,51510,15.9,0,26,0,1,0
13249,GA,Schley,72.09580838,23.29341317,3.213572854,0.718562874,0.03992016,0,13.11377246,30,41737,19.5,0,29,1,0,0
13251,GA,Screven,54.12183924,43.05488933,1.233468101,0.383745631,0.226135819,0.006852601,14.89755362,25.28609607,35911,27,1,40,1,0,0
13253,GA,Seminole,63.19165998,33.0736625,2.337037461,0.378050178,0.137472792,0,18.98270134,22.95795624,31615,25.8,1,42.7,1,0,0
13255,GA,Spalding,60.84622228,32.67679054,3.82532424,0.884928129,0.23879013,0.046821594,13.32698641,25.30082874,41250,22.2,0,35.5,1,1,0
13257,GA,Stephens,84.07258835,10.77745941,2.418338109,0.668576886,0.259789876,0.049665712,16.6112703,22.73925501,38503,21.2,0,31,0,0,0
13259,GA,Stewart,27.31924728,46.76460878,24.00132057,0.726312314,0.181578079,0.016507098,14.16309013,15.66523605,28977,42,1,48.4,1,0,0
13261,GA,Sumter,40.86961821,51.47627898,5.231725525,1.273652457,0.289466468,0.027423139,12.623785,25.29327524,33802,30.8,1,48.1,1,0,0
13263,GA,Talbot,38.44136926,58.83466861,1.325564457,0.131099782,0.262199563,0,16.30007283,21.32556446,33510,25.6,1,41.8,1,0,0
13265,GA,Taliaferro,36.40069889,59.63890507,2.038439138,0.465928946,0.116482236,0,20.50087362,18.81188119,28952,33.5,1,54.4,1,0,0
