FIPS,State,County,GROC09,GROC14,PCH_GROC_09_14,GROCPTH09,GROCPTH14,PCH_GROCPTH_09_14,SUPERC09,SUPERC14,PCH_SUPERC_09_14,SUPERCPTH09,SUPERCPTH14,PCH_SUPERCPTH_09_14,CONVS09,CONVS14,PCH_CONVS_09_14,CONVSPTH09,CONVSPTH14,PCH_CONVSPTH_09_14,SPECS09,SPECS14,PCH_SPECS_09_14,SPECSPTH09,SPECSPTH14,PCH_SPECSPTH_09_14,SNAPS12,SNAPS16,PCH_SNAPS_12_16,SNAPSPTH12,SNAPSPTH16,PCH_SNAPSPTH_12_16,WICS08,WICS12,PCH_WICS_08_12,WICSPTH08,WICSPTH12,PCH_WICSPTH_08_12
13111,GA,Fannin,9,9,0,0.380372765,0.378899507,-0.387319496,0,0,0,0,0,0,11,11,0,0.464900046,0.463099398,-0.387319496,2,0,-100,0.084527281,0,-100,19.58333333,18.41666667,-5.957446809,0.833617118,0.739625167,-11.27519439,6,5,-16.66667,0.2643055,0.2128384,-19.47259
13113,GA,Fayette,16,17,6.25,0.151668831,0.155018967,2.208849303,2,2,0,0.0189586,0.0182375,-3.80343595,42,42,0,0.398130682,0.382988036,-3.80343595,2,5,150,0.0189586,0.0455938,140.4914101,61.91666667,61.08333333,-1.34589502,0.575840433,0.547209307,-4.972058876,14,14,0,0.1315814,0.1302035,-1.047204
13115,GA,Floyd,14,19,35.71428571,0.145253831,0.197786869,36.16636999,4,3,-25,0.0415011,0.0312295,-24.75016396,72,76,5.555555556,0.747019703,0.791147476,5.907176656,3,0,-100,0.0311258,0,-100,123.5833333,115.25,-6.743088334,1.284957249,1.193558409,-7.112986814,18,20,11.11111,0.1880956,0.2079499,10.55542
13117,GA,Forsyth,32,36,12.5,0.186054084,0.176209729,-5.291125393,5,6,20,0.029071,0.0293683,1.022799581,57,72,26.31578947,0.331408836,0.352419457,6.339789033,9,11,22.22222222,0.0523277,0.0538419,2.893592166,93.08333333,109.75,17.90510295,0.495313808,0.496586112,0.256868218,21,22,4.761905,0.1249271,0.1170661,-6.292471
13119,GA,Franklin,5,5,0,0.225713254,0.224577794,-0.503054258,0,0,0,0,0,0,13,16,23.07692308,0.58685446,0.71864894,22.45777938,0,0,0,0,0,0,31.58333333,34.41666667,8.970976253,1.44255656,1.541965352,6.891153857,6,6,0,0.2751788,0.2740477,-0.4110589
13121,GA,Fulton,175,204,16.57142857,0.193261043,0.204753698,5.946700662,11,12,9.090909091,0.0121478,0.0120443,-0.852018097,350,370,5.714285714,0.386522085,0.371367002,-3.920884203,62,58,-6.451612903,0.068469627,0.0582143,-14.97794025,697.9166667,674.5833333,-3.343283582,0.713781897,0.659200237,-7.646826084,188,155,-17.55319,0.1855222,0.1585235,-14.5528
13123,GA,Gilmer,4,7,75,0.14197487,0.242811058,71.02396892,1,1,0,0.0354937,0.0346873,-2.27201776,16,13,-18.75,0.567899482,0.450934823,-20.59601443,1,1,0,0.0354937,0.0346873,-2.27201776,20.41666667,26.41666667,29.3877551,0.724252099,0.888462875,22.67315159,7,6,-14.28571,0.2420638,0.2128414,-12.07217
13125,GA,Glascock,1,1,0,0.32615786,0.327546675,0.425810678,0,0,0,0,0,0,3,2,-33.33333333,0.978473581,0.655093351,-33.04945955,0,0,0,0,0,0,3.166666667,3.333333333,5.263157895,1.007850626,1.108893324,10.02556291,1,0,-100,0.3584229,0,-100
13127,GA,Glynn,19,20,5.263157895,0.240670838,0.243383024,1.126927449,1,2,100,0.0126669,0.0243383,92.14116215,56,54,-3.571428571,0.709345629,0.657134165,-7.360511104,3,9,200,0.0380007,0.109522361,188.2117432,98.83333333,103.6666667,4.890387858,1.219833296,1.226795421,0.570743948,19,16,-15.78947,0.2498554,0.1974772,-20.96338
13129,GA,Gordon,13,11,-15.38461539,0.236600237,0.19626385,-17.04832894,1,1,0,0.0182,0.0178422,-1.966206933,39,37,-5.128205128,0.70980071,0.660160223,-6.993580937,3,3,0,0.0546001,0.0535265,-1.966206933,71.91666667,73.83333333,2.665121669,1.289614939,1.297506912,0.61196357,9,8,-11.11111,0.1699267,0.1434566,-15.57739
